@RELATION student_feedback

@ATTRIBUTE Student_Name STRING
@ATTRIBUTE Roll_No STRING
@ATTRIBUTE Department {CSE,ECE,EEE,MECH,CIVIL,IT}
@ATTRIBUTE Section {A,B,C}
@ATTRIBUTE Q1_Teaching NUMERIC
@ATTRIBUTE Q2_Content NUMERIC
@ATTRIBUTE Q3_Interaction NUMERIC
@ATTRIBUTE Q4_Resources NUMERIC
@ATTRIBUTE Q5_Overall NUMERIC

@DATA
Aarav Naidu,R1048,ECE,A,3.0,5.0,1.0,5.0,4.0
Rahul Naidu,R1049,MECH,C,1.0,5.0,1.0,2.0,5.0
Aarav Reddy,R1050,IT,B,5.0,4.0,4.0,5.0,1.0
Kavya Rao,R1051,MECH,A,1.0,4.0,4.0,2.0,4.0
Vihaan Sharma,R1052,CIVIL,C,5.0,4.0,4.0,4.0,4.0
Teja Reddy,R1053,CSE,A,?,5.0,1.0,3.0,5.0
Rahul Naidu,R1054,MECH,B,5.0,2.0,2.0,2.0,4.0
Keerthi Kumar,R1055,CSE,A,3.0,1.0,5.0,1.0,2.0
Ananya Naidu,R1056,CIVIL,C,3.0,5.0,5.0,2.0,2.0
Isha Reddy,R1057,ECE,C,3.0,5.0,4.0,3.0,1.0
Pooja Sharma,R1058,CIVIL,B,5.0,5.0,5.0,5.0,1.0
Harsha Sharma,R1059,MECH,C,3.0,4.0,1.0,5.0,5.0
Aarav Reddy,R1060,ECE,C,1.0,5.0,4.0,3.0,5.0
Kavya Reddy,R1061,MECH,B,5.0,1.0,4.0,4.0,3.0
Vihaan Sharma,R1062,EEE,B,1.0,?,1.0,1.0,3.0
Isha Rao,R1063,EEE,C,5.0,2.0,4.0,2.0,5.0
Rahul Reddy,R1064,CSE,C,1.0,4.0,3.0,2.0,4.0
Sneha Rao,R1065,CSE,A,4.0,2.0,1.0,?,5.0
Isha Kumar,R1066,CIVIL,C,2.0,5.0,3.0,4.0,1.0
Kavya Reddy,R1067,IT,B,2.0,3.0,3.0,1.0,1.0
Divya Sharma,R1068,CIVIL,A,4.0,1.0,3.0,5.0,1.0
Harsha Kumar,R1069,ECE,B,3.0,4.0,2.0,5.0,2.0
Ananya Naidu,R1070,CSE,B,4.0,1.0,2.0,4.0,3.0
Kavya Reddy,?,EEE,?,3.0,1.0,2.0,5.0,3.0
Arjun Rao,R1072,CSE,A,4.0,4.0,3.0,1.0,1.0
Meera Naidu,R1073,EEE,B,2.0,4.0,5.0,2.0,3.0
Teja Naidu,R1074,ECE,C,1.0,1.0,2.0,3.0,4.0
Pooja Naidu,R1075,EEE,A,5.0,4.0,1.0,2.0,4.0
Keerthi Sharma,R1076,CSE,C,3.0,5.0,2.0,2.0,2.0
?,R1077,IT,A,3.0,2.0,4.0,3.0,5.0
Sneha Naidu,R1078,ECE,A,5.0,1.0,4.0,4.0,4.0
Keerthi Rao,R1079,MECH,A,2.0,5.0,1.0,4.0,4.0
Aarav Sharma,R1080,ECE,B,2.0,3.0,5.0,4.0,3.0
Harsha Rao,R1081,IT,C,3.0,5.0,4.0,2.0,2.0
Nikhil Naidu,R1082,CSE,C,5.0,2.0,1.0,1.0,2.0
Nikhil Naidu,R1083,MECH,B,3.0,3.0,4.0,2.0,1.0
Pavani Naidu,R1084,MECH,C,4.0,4.0,2.0,2.0,2.0
Keerthi Kumar,R1085,MECH,A,2.0,2.0,2.0,5.0,5.0
Ananya Naidu,R1086,CIVIL,A,3.0,4.0,2.0,2.0,3.0
Keerthi Reddy,R1087,CSE,B,4.0,2.0,1.0,5.0,1.0
Isha Reddy,R1088,MECH,A,4.0,3.0,1.0,5.0,5.0
Aditya Reddy,R1089,IT,A,3.0,3.0,2.0,?,3.0
Divya Naidu,R1090,MECH,C,5.0,5.0,3.0,5.0,2.0
Ananya Sharma,R1091,CIVIL,A,5.0,5.0,3.0,3.0,3.0
Arjun Reddy,R1092,MECH,A,1.0,1.0,1.0,1.0,3.0
Pooja Kumar,R1093,EEE,C,1.0,3.0,2.0,3.0,4.0
Meera Rao,?,IT,C,2.0,4.0,3.0,1.0,1.0
Divya Rao,R1095,IT,?,2.0,4.0,5.0,5.0,5.0
Diya Rao,R1096,EEE,B,2.0,5.0,?,2.0,5.0
Teja Kumar,R1097,CSE,B,3.0,3.0,4.0,2.0,1.0
Vihaan Kumar,R1098,MECH,?,1.0,4.0,4.0,3.0,4.0
Rohan Kumar,R1099,CIVIL,B,1.0,3.0,3.0,2.0,1.0
Vihaan Rao,R1100,CIVIL,C,5.0,2.0,3.0,5.0,3.0
Pooja Sharma,?,CIVIL,A,4.0,2.0,2.0,4.0,2.0
Kavya Naidu,R1102,IT,B,2.0,?,2.0,4.0,2.0
Keerthi Kumar,R1103,CIVIL,A,2.0,5.0,3.0,4.0,3.0
Rohan Rao,R1104,IT,B,1.0,3.0,2.0,1.0,3.0
Isha Naidu,R1105,EEE,C,1.0,5.0,3.0,4.0,2.0
Kavya Naidu,R1106,IT,?,3.0,4.0,3.0,1.0,4.0
Keerthi Sharma,R1107,ECE,B,2.0,3.0,5.0,3.0,5.0
Nikhil Naidu,R1108,ECE,C,3.0,5.0,5.0,3.0,5.0
Diya Naidu,R1109,MECH,C,3.0,1.0,5.0,4.0,4.0
Pooja Naidu,R1110,CIVIL,C,1.0,4.0,2.0,2.0,5.0
Rahul Kumar,R1111,ECE,A,3.0,5.0,1.0,3.0,1.0
Vihaan Sharma,R1112,ECE,B,3.0,4.0,4.0,4.0,2.0
Arjun Reddy,R1113,IT,C,2.0,5.0,4.0,5.0,?
Sneha Kumar,R1114,MECH,C,5.0,3.0,1.0,5.0,4.0
Vihaan Rao,R1115,CSE,A,1.0,1.0,3.0,?,5.0
Sai Sharma,R1116,MECH,A,1.0,1.0,5.0,4.0,5.0
Rahul Sharma,R1117,EEE,B,3.0,4.0,1.0,3.0,2.0
Meera Rao,R1118,CIVIL,B,4.0,4.0,1.0,5.0,3.0
Harsha Naidu,R1119,EEE,A,1.0,5.0,2.0,4.0,5.0
Rahul Sharma,R1120,MECH,A,4.0,2.0,5.0,2.0,5.0
Meera Kumar,R1121,CSE,C,2.0,1.0,1.0,3.0,4.0
Aarav Naidu,R1122,IT,C,1.0,2.0,3.0,5.0,3.0
Arjun Naidu,R1123,?,A,4.0,2.0,2.0,3.0,1.0
Rahul Reddy,R1124,CSE,C,4.0,4.0,?,3.0,5.0
Rahul Sharma,R1125,CSE,B,1.0,1.0,3.0,5.0,1.0
Ananya Naidu,R1126,EEE,C,4.0,1.0,3.0,4.0,5.0
Divya Kumar,R1127,IT,B,1.0,4.0,4.0,3.0,4.0
Pavani Kumar,R1128,CSE,B,2.0,4.0,4.0,1.0,?
Meera Sharma,R1129,MECH,B,4.0,1.0,1.0,1.0,4.0
Kavya Kumar,R1130,MECH,C,2.0,4.0,5.0,5.0,2.0
Isha Rao,R1131,ECE,B,4.0,1.0,5.0,1.0,1.0
Aditya Kumar,R1132,EEE,B,5.0,2.0,4.0,1.0,5.0
Ananya Sharma,R1133,CSE,C,1.0,1.0,2.0,2.0,1.0
Sneha Sharma,R1134,ECE,C,4.0,2.0,2.0,3.0,4.0
Diya Sharma,R1135,MECH,C,3.0,5.0,4.0,3.0,5.0
Aditya Naidu,R1136,IT,B,5.0,4.0,2.0,2.0,3.0
?,R1137,CIVIL,A,4.0,4.0,1.0,4.0,3.0
Pavani Kumar,R1138,ECE,B,5.0,1.0,?,2.0,1.0
Vihaan Kumar,R1139,IT,B,2.0,2.0,4.0,2.0,2.0
Kavya Sharma,R1140,EEE,A,4.0,2.0,1.0,2.0,3.0
Harsha Reddy,R1141,IT,C,1.0,2.0,5.0,4.0,1.0
Rahul Sharma,R1142,ECE,C,1.0,5.0,5.0,5.0,5.0
Rahul Naidu,R1143,MECH,A,4.0,3.0,3.0,4.0,2.0
Divya Naidu,R1144,IT,C,5.0,5.0,1.0,5.0,2.0
Teja Naidu,R1145,MECH,B,3.0,2.0,4.0,4.0,3.0
Divya Naidu,R1146,CIVIL,A,2.0,3.0,2.0,5.0,5.0
Arjun Reddy,R1147,ECE,A,3.0,1.0,1.0,1.0,3.0
Aditya Reddy,R1148,EEE,A,2.0,2.0,2.0,1.0,1.0
Meera Reddy,R1149,EEE,B,?,5.0,1.0,3.0,5.0
Pooja Naidu,R1150,ECE,C,1.0,5.0,4.0,4.0,4.0
Diya Rao,R1151,IT,C,3.0,2.0,2.0,3.0,4.0
Rahul Kumar,R1152,CIVIL,A,4.0,3.0,1.0,5.0,4.0
Harsha Kumar,R1153,EEE,B,2.0,2.0,5.0,1.0,4.0
Keerthi Naidu,R1154,CSE,A,4.0,4.0,1.0,3.0,5.0
Aditya Sharma,R1155,IT,C,1.0,1.0,4.0,4.0,4.0
Sai Sharma,R1156,IT,A,3.0,1.0,2.0,1.0,3.0
Pavani Sharma,R1157,EEE,B,1.0,3.0,3.0,1.0,3.0
Harsha Rao,R1158,ECE,B,1.0,?,5.0,5.0,4.0
Meera Naidu,R1159,CIVIL,C,5.0,5.0,1.0,4.0,1.0
Harsha Reddy,R1160,IT,C,3.0,?,5.0,4.0,1.0
Vihaan Naidu,R1161,EEE,C,1.0,3.0,1.0,5.0,2.0
Keerthi Naidu,R1162,IT,A,2.0,4.0,1.0,3.0,1.0
Diya Rao,R1163,ECE,C,?,5.0,1.0,4.0,1.0
Aditya Sharma,R1164,CSE,C,3.0,1.0,1.0,1.0,5.0
Divya Kumar,R1165,EEE,C,3.0,2.0,3.0,1.0,4.0
Harsha Naidu,R1166,IT,B,1.0,2.0,3.0,4.0,2.0
Teja Kumar,R1167,MECH,C,2.0,2.0,5.0,3.0,2.0
Arjun Rao,R1168,ECE,C,3.0,5.0,2.0,3.0,2.0
Pavani Kumar,R1169,CIVIL,B,4.0,3.0,5.0,1.0,1.0
Sneha Sharma,R1170,CSE,B,4.0,4.0,2.0,1.0,4.0
Aditya Naidu,R1171,IT,A,5.0,4.0,2.0,3.0,4.0
Harsha Rao,R1172,ECE,A,1.0,?,3.0,1.0,3.0
Meera Reddy,?,ECE,C,1.0,5.0,4.0,3.0,1.0
Sneha Sharma,R1174,CSE,A,5.0,?,5.0,5.0,3.0
Arjun Reddy,R1175,CIVIL,B,5.0,2.0,1.0,1.0,4.0
Pavani Kumar,R1176,IT,B,2.0,3.0,5.0,5.0,5.0
Teja Sharma,R1177,?,B,2.0,3.0,1.0,2.0,1.0
Pavani Rao,R1178,CIVIL,C,1.0,5.0,3.0,4.0,3.0
Meera Reddy,R1179,ECE,C,4.0,1.0,4.0,1.0,1.0
Keerthi Rao,R1180,IT,B,4.0,2.0,2.0,2.0,2.0
Vihaan Kumar,R1181,MECH,A,1.0,1.0,3.0,4.0,5.0
Rohan Sharma,R1182,CSE,C,1.0,5.0,1.0,2.0,2.0
Harsha Sharma,R1183,CIVIL,A,1.0,1.0,3.0,3.0,1.0
Rahul Kumar,R1184,CIVIL,B,1.0,3.0,1.0,1.0,2.0
Keerthi Sharma,R1185,ECE,A,4.0,5.0,5.0,4.0,3.0
Harsha Naidu,R1186,IT,C,5.0,1.0,2.0,2.0,5.0
Divya Kumar,R1187,IT,B,5.0,2.0,3.0,3.0,4.0
Teja Sharma,R1188,CIVIL,B,5.0,2.0,5.0,4.0,5.0
Sneha Naidu,R1189,CSE,B,5.0,5.0,5.0,2.0,2.0
Meera Sharma,R1190,CSE,C,2.0,4.0,4.0,4.0,5.0
Rohan Rao,R1191,IT,C,1.0,4.0,4.0,5.0,5.0
Meera Kumar,R1192,ECE,B,2.0,3.0,2.0,1.0,4.0
Sneha Rao,R1193,CIVIL,A,4.0,3.0,4.0,4.0,1.0
Pooja Rao,R1194,IT,B,1.0,1.0,?,5.0,3.0
Sneha Naidu,R1195,MECH,C,4.0,4.0,3.0,5.0,3.0
Diya Kumar,R1196,IT,B,2.0,2.0,2.0,5.0,5.0
Pavani Kumar,R1197,EEE,?,4.0,1.0,2.0,4.0,4.0
Kavya Reddy,R1198,ECE,C,4.0,5.0,5.0,4.0,2.0
Teja Reddy,R1199,IT,C,2.0,1.0,2.0,2.0,3.0
Kavya Sharma,R1200,CIVIL,A,5.0,3.0,3.0,1.0,1.0
Keerthi Kumar,R1201,CSE,C,4.0,2.0,1.0,5.0,2.0
Sneha Naidu,R1202,ECE,C,3.0,5.0,3.0,4.0,4.0
Aarav Rao,R1203,CIVIL,B,2.0,1.0,2.0,4.0,1.0
Teja Naidu,R1204,EEE,B,1.0,3.0,3.0,3.0,1.0
Teja Naidu,R1205,IT,A,2.0,?,3.0,4.0,1.0
Ananya Kumar,R1206,CSE,A,2.0,4.0,3.0,5.0,5.0
Diya Kumar,R1207,?,A,3.0,2.0,5.0,2.0,4.0
Rohan Naidu,R1208,IT,A,1.0,5.0,4.0,5.0,1.0
Sai Rao,R1209,CSE,B,1.0,5.0,4.0,2.0,1.0
Harsha Naidu,R1210,?,C,5.0,1.0,3.0,3.0,1.0
Kavya Reddy,R1211,IT,C,1.0,3.0,2.0,4.0,4.0
Teja Kumar,R1212,CIVIL,?,5.0,3.0,3.0,4.0,4.0
Aditya Rao,R1213,MECH,A,1.0,1.0,2.0,5.0,1.0
Rahul Kumar,R1214,ECE,B,2.0,1.0,3.0,4.0,5.0
Pooja Rao,R1215,IT,C,3.0,5.0,5.0,3.0,2.0
Arjun Reddy,R1216,CSE,A,4.0,2.0,1.0,1.0,1.0
Aditya Kumar,R1217,MECH,B,4.0,4.0,2.0,5.0,3.0
Pooja Reddy,R1218,CSE,B,4.0,5.0,1.0,1.0,2.0
Ananya Kumar,R1219,IT,A,3.0,2.0,2.0,2.0,2.0
Pavani Naidu,R1220,IT,A,1.0,2.0,2.0,4.0,3.0
Arjun Kumar,R1221,CIVIL,B,2.0,2.0,5.0,1.0,5.0
Aditya Reddy,R1222,MECH,B,3.0,5.0,3.0,3.0,5.0
Harsha Rao,R1223,CSE,A,4.0,5.0,4.0,2.0,2.0
Keerthi Sharma,R1224,MECH,B,5.0,1.0,2.0,2.0,3.0
Arjun Naidu,R1225,CIVIL,C,4.0,1.0,5.0,2.0,1.0
Diya Rao,R1226,ECE,A,5.0,2.0,2.0,3.0,3.0
Aarav Reddy,R1227,EEE,B,4.0,1.0,4.0,1.0,5.0
Rahul Rao,R1228,CSE,A,1.0,1.0,4.0,4.0,4.0
Arjun Kumar,R1229,ECE,B,1.0,4.0,2.0,1.0,5.0
Aarav Sharma,R1230,IT,B,2.0,3.0,5.0,5.0,1.0
Aarav Sharma,R1231,MECH,B,5.0,4.0,3.0,5.0,5.0
Nikhil Kumar,R1232,EEE,A,2.0,4.0,2.0,1.0,5.0
Aditya Naidu,R1233,IT,A,5.0,4.0,4.0,4.0,5.0
Harsha Kumar,R1234,CSE,B,2.0,4.0,3.0,2.0,1.0
Diya Kumar,R1235,CSE,C,5.0,3.0,2.0,5.0,1.0
Kavya Reddy,R1236,MECH,B,4.0,5.0,4.0,3.0,4.0
Meera Naidu,R1237,ECE,B,2.0,2.0,5.0,3.0,3.0
Arjun Sharma,R1238,IT,B,5.0,2.0,3.0,1.0,3.0
Divya Rao,R1239,CSE,A,3.0,1.0,2.0,1.0,1.0
Aditya Rao,R1240,IT,A,4.0,4.0,2.0,5.0,2.0
Arjun Rao,R1241,IT,C,3.0,3.0,2.0,1.0,3.0
Pavani Reddy,R1242,CIVIL,C,5.0,2.0,5.0,5.0,1.0
Sai Naidu,R1243,ECE,A,5.0,5.0,5.0,2.0,3.0
Meera Naidu,R1244,IT,B,3.0,2.0,2.0,5.0,2.0
Keerthi Naidu,R1245,CIVIL,B,3.0,1.0,1.0,5.0,3.0
Aditya Sharma,R1246,CSE,B,4.0,1.0,1.0,5.0,2.0
Ananya Rao,R1247,CIVIL,A,5.0,2.0,2.0,4.0,5.0
Pooja Rao,R1248,MECH,A,3.0,5.0,5.0,5.0,4.0
Sai Kumar,R1249,CIVIL,B,4.0,4.0,5.0,5.0,5.0
Harsha Naidu,R1250,CIVIL,C,4.0,2.0,5.0,5.0,1.0
Rohan Rao,R1251,MECH,A,5.0,4.0,5.0,2.0,5.0
Teja Naidu,R1252,IT,A,1.0,3.0,2.0,3.0,1.0
Meera Rao,R1253,CSE,A,1.0,5.0,3.0,4.0,3.0
Aarav Reddy,R1254,MECH,B,5.0,3.0,1.0,3.0,3.0
Keerthi Kumar,R1255,MECH,B,2.0,1.0,4.0,2.0,2.0
Pooja Naidu,R1256,MECH,B,4.0,3.0,1.0,4.0,1.0
Ananya Naidu,R1257,MECH,B,1.0,1.0,5.0,1.0,2.0
Kavya Sharma,R1258,CIVIL,C,4.0,4.0,1.0,2.0,1.0
Ananya Naidu,R1259,ECE,C,5.0,4.0,4.0,5.0,4.0
Divya Reddy,R1260,ECE,B,4.0,1.0,5.0,2.0,5.0
Isha Rao,R1261,ECE,C,3.0,2.0,3.0,3.0,2.0
Divya Naidu,R1262,EEE,C,1.0,3.0,2.0,4.0,4.0
Teja Sharma,R1263,CSE,B,4.0,4.0,1.0,4.0,4.0
Keerthi Kumar,R1264,IT,B,4.0,5.0,3.0,5.0,1.0
Aditya Reddy,?,CIVIL,C,5.0,5.0,5.0,3.0,1.0
Aarav Sharma,R1266,IT,C,3.0,3.0,2.0,4.0,2.0
Arjun Sharma,R1267,MECH,B,4.0,1.0,3.0,3.0,2.0
Divya Kumar,R1268,ECE,B,4.0,3.0,1.0,2.0,2.0
Rohan Kumar,R1269,CIVIL,A,5.0,3.0,5.0,4.0,4.0
Kavya Naidu,R1270,CIVIL,C,5.0,3.0,1.0,2.0,2.0
Aarav Reddy,R1271,ECE,B,2.0,4.0,4.0,3.0,3.0
Isha Naidu,R1272,EEE,C,4.0,4.0,3.0,5.0,4.0
Isha Rao,R1273,EEE,B,2.0,5.0,5.0,4.0,5.0
Isha Naidu,R1274,ECE,B,5.0,2.0,5.0,5.0,5.0
Arjun Sharma,R1275,CIVIL,A,4.0,5.0,1.0,4.0,4.0
Sneha Naidu,R1276,CIVIL,A,3.0,5.0,3.0,2.0,3.0
Divya Rao,R1277,CIVIL,B,1.0,3.0,3.0,2.0,5.0
Arjun Sharma,R1278,CIVIL,B,3.0,3.0,2.0,1.0,1.0
Nikhil Reddy,R1279,CSE,A,1.0,4.0,1.0,4.0,1.0
Kavya Kumar,R1280,ECE,B,1.0,1.0,1.0,1.0,1.0
?,R1281,IT,C,4.0,1.0,1.0,5.0,4.0
Aarav Reddy,R1282,ECE,C,2.0,5.0,3.0,2.0,5.0
Rohan Reddy,R1283,CIVIL,C,1.0,5.0,5.0,5.0,2.0
Keerthi Sharma,R1284,ECE,A,1.0,2.0,2.0,2.0,3.0
Aditya Rao,R1285,MECH,B,4.0,5.0,4.0,1.0,1.0
Pavani Reddy,R1286,CIVIL,A,3.0,4.0,?,4.0,4.0
Divya Kumar,R1287,ECE,A,5.0,2.0,5.0,2.0,4.0
Meera Rao,R1288,ECE,C,3.0,4.0,2.0,2.0,3.0
Aarav Naidu,R1289,IT,A,1.0,3.0,2.0,4.0,3.0
Arjun Naidu,R1290,MECH,A,3.0,1.0,5.0,5.0,2.0
Diya Reddy,R1291,MECH,B,5.0,5.0,4.0,?,3.0
Nikhil Kumar,R1292,CSE,C,?,1.0,4.0,4.0,5.0
Isha Rao,R1293,CIVIL,B,1.0,3.0,5.0,4.0,5.0
Aarav Kumar,R1294,IT,B,5.0,1.0,5.0,2.0,4.0
Pooja Kumar,R1295,IT,C,1.0,1.0,3.0,4.0,2.0
Arjun Naidu,R1296,CIVIL,C,1.0,3.0,4.0,2.0,1.0
Arjun Kumar,R1297,IT,A,?,4.0,5.0,5.0,3.0
Diya Sharma,R1298,MECH,A,2.0,2.0,4.0,4.0,2.0
Divya Sharma,R1299,?,A,1.0,2.0,4.0,2.0,5.0
Divya Sharma,R1300,CSE,A,1.0,2.0,5.0,2.0,3.0
Meera Naidu,R1301,MECH,B,4.0,4.0,5.0,2.0,?
Isha Naidu,R1302,CSE,C,3.0,4.0,4.0,3.0,1.0
Nikhil Kumar,R1303,IT,C,5.0,3.0,1.0,5.0,3.0
Arjun Kumar,R1304,MECH,A,4.0,3.0,1.0,2.0,2.0
Sai Kumar,R1305,CIVIL,C,5.0,3.0,2.0,2.0,5.0
Diya Rao,R1306,ECE,B,5.0,2.0,1.0,2.0,3.0
Divya Rao,R1307,?,B,1.0,3.0,5.0,5.0,4.0
Harsha Reddy,R1308,MECH,A,2.0,4.0,1.0,1.0,3.0
Sai Sharma,R1309,CSE,C,3.0,1.0,3.0,2.0,1.0
Divya Kumar,R1310,EEE,B,3.0,5.0,2.0,4.0,3.0
Ananya Rao,R1311,ECE,B,2.0,3.0,4.0,2.0,4.0
Ananya Kumar,R1312,CIVIL,C,5.0,5.0,1.0,5.0,?
Keerthi Naidu,R1313,IT,B,4.0,1.0,4.0,2.0,2.0
Rahul Kumar,R1314,CIVIL,B,1.0,3.0,2.0,4.0,5.0
Isha Reddy,?,ECE,B,1.0,2.0,3.0,1.0,5.0
Harsha Rao,R1316,EEE,B,2.0,5.0,2.0,3.0,1.0
Teja Rao,R1317,MECH,C,4.0,4.0,2.0,?,2.0
Pooja Rao,R1318,MECH,B,2.0,5.0,5.0,1.0,4.0
Sai Reddy,R1319,CSE,A,4.0,1.0,5.0,1.0,4.0
?,R1320,ECE,B,3.0,5.0,2.0,4.0,4.0
Sai Reddy,R1321,IT,B,5.0,4.0,5.0,4.0,1.0
Pooja Rao,R1322,IT,?,4.0,5.0,1.0,4.0,2.0
Pooja Reddy,R1323,EEE,B,4.0,2.0,3.0,5.0,5.0
Vihaan Naidu,R1324,CIVIL,C,1.0,3.0,4.0,3.0,1.0
Harsha Reddy,R1325,MECH,C,3.0,?,4.0,4.0,2.0
Divya Kumar,R1326,ECE,A,3.0,4.0,4.0,4.0,3.0
Kavya Naidu,R1327,CIVIL,C,2.0,2.0,2.0,1.0,?
Aditya Sharma,R1328,EEE,A,1.0,5.0,1.0,1.0,4.0
Sai Rao,R1329,MECH,A,5.0,4.0,4.0,3.0,1.0
Diya Rao,R1330,CIVIL,B,4.0,2.0,1.0,4.0,5.0
Vihaan Rao,R1331,CSE,C,5.0,4.0,3.0,2.0,3.0
Kavya Sharma,R1332,CSE,A,4.0,1.0,2.0,?,3.0
Pavani Rao,R1333,EEE,C,5.0,2.0,4.0,5.0,2.0
Divya Naidu,R1334,MECH,C,2.0,2.0,5.0,1.0,3.0
Aditya Reddy,R1335,MECH,B,4.0,1.0,1.0,5.0,5.0
Keerthi Rao,R1336,CSE,?,2.0,2.0,2.0,5.0,2.0
Meera Kumar,R1337,CIVIL,C,2.0,4.0,2.0,5.0,4.0
Rahul Reddy,R1338,EEE,C,1.0,5.0,4.0,2.0,1.0
Rohan Reddy,R1339,ECE,B,4.0,5.0,3.0,2.0,4.0
Aarav Reddy,R1340,IT,A,2.0,3.0,5.0,2.0,4.0
Rohan Naidu,R1341,ECE,A,1.0,1.0,5.0,1.0,5.0
Aarav Naidu,R1342,ECE,A,5.0,4.0,1.0,5.0,3.0
Aarav Naidu,R1343,EEE,B,5.0,1.0,3.0,3.0,4.0
Isha Naidu,R1344,CSE,A,1.0,3.0,2.0,1.0,4.0
Isha Reddy,R1345,IT,B,5.0,2.0,3.0,4.0,?
Meera Kumar,R1346,IT,A,?,1.0,3.0,2.0,5.0
Diya Reddy,R1347,ECE,C,3.0,1.0,5.0,2.0,4.0
Sneha Naidu,R1348,CIVIL,B,3.0,5.0,5.0,?,4.0
Aarav Sharma,R1349,MECH,A,5.0,2.0,4.0,5.0,4.0
Harsha Kumar,R1350,IT,A,4.0,1.0,1.0,3.0,2.0
Pooja Naidu,R1351,IT,B,3.0,4.0,5.0,1.0,1.0
Harsha Sharma,R1352,MECH,C,2.0,2.0,4.0,3.0,5.0
