@RELATION student_feedback_advanced

@ATTRIBUTE student_name STRING
@ATTRIBUTE pin_no NUMERIC
@ATTRIBUTE department {CSE,ECE,EEE,MECH,CIVIL}
@ATTRIBUTE section {A,B,C}
@ATTRIBUTE teaching_effectiveness NUMERIC
@ATTRIBUTE course_content NUMERIC
@ATTRIBUTE classroom_interaction NUMERIC
@ATTRIBUTE learning_experience NUMERIC
@ATTRIBUTE attendance NUMERIC
@ATTRIBUTE satisfaction {highly_satisfied,satisfied,dissatisfied}

@DATA
Wwywq_Ebrwcu,10143,MECH,A,3,4,5,3,100,satisfied
Vzlpnh_Ghbwxtm,10144,MECH,B,5,5,5,2,72,highly_satisfied
Swtydoqq_Rirfd,10145,ECE,A,5,1,4,5,98,?
Eccyd_Vkpuv,10146,CIVIL,B,5,3,4,5,81,highly_satisfied
Eitpjpv_Wmdaenv,10147,EEE,A,?,5,4,3,91,satisfied
Rjafu_Dtaxrxx,10148,CIVIL,C,1,4,1,1,57,dissatisfied
Ikdznoa_Gijcjdc,10149,CSE,A,2,2,3,3,73,dissatisfied
Xdrdciva_Owreqnhp,10150,CSE,C,4,2,4,3,87,satisfied
Ppnii_Fouvglfv,10151,EEE,C,3,1,2,4,89,?
Kzuyrj_Yqfhqt,10152,CIVIL,C,1,1,3,1,52,dissatisfied
Tlvlxr_Mokyfwfr,10153,ECE,A,3,5,5,1,84,satisfied
Wmzlqr_Oqpfwnn,10154,ECE,?,4,2,5,4,64,satisfied
Rtofhw_Nyypd,10155,EEE,B,3,2,3,5,79,satisfied
Euawb_Wjobd,10156,ECE,B,5,5,4,5,77,highly_satisfied
Pfizmz_Lfsqnfor,10157,CIVIL,A,1,2,2,?,75,dissatisfied
?,10158,CSE,C,5,4,3,1,70,satisfied
?,10159,EEE,A,2,4,2,4,65,satisfied
Exmyf_Vflcxol,10160,?,B,5,5,2,3,?,satisfied
Aobznzgc_Jcfshqao,10161,CIVIL,A,4,5,5,1,53,?
Ueelndd_Qrsoxsqv,10162,CIVIL,B,1,1,1,2,62,dissatisfied
Unbamo_Qcugsa,10163,CSE,B,?,1,5,1,81,dissatisfied
Zmjzcdb_Dffhvovy,10164,ECE,B,3,2,5,5,92,satisfied
Pzymcvy_Bpsqsck,10165,EEE,B,2,4,?,1,94,dissatisfied
Ojilbhiz_Uvxod,10166,EEE,B,2,3,4,4,71,satisfied
Fufjekk_Bxwsdgwy,10167,EEE,?,?,3,1,4,51,dissatisfied
?,10168,ECE,B,3,?,4,1,77,satisfied
Yzqiyayy_Wpytpw,10169,CIVIL,C,5,4,3,3,57,satisfied
Dojfach_Yiondvku,10170,CIVIL,A,2,5,?,5,70,satisfied
Onqusv_Wxbrxqz,10171,EEE,?,1,1,2,2,88,dissatisfied
Enozruzx_Quzbc,10172,?,?,5,3,3,5,57,satisfied
Krjtxc_Mcehnm,10173,MECH,A,3,5,5,4,97,highly_satisfied
Hvzuf_Qkvclwi,10174,CSE,B,2,2,1,2,65,dissatisfied
Qdeucihc_Fsatipp,10175,MECH,C,?,5,?,3,67,highly_satisfied
Yrjmgc_Tswvgvh,10176,CSE,C,2,5,4,5,83,satisfied
?,10177,ECE,B,5,2,?,5,53,satisfied
Ckxqdib_Ubwhjoa,10178,ECE,B,2,?,5,2,69,satisfied
Icimrbv_Nanzofhg,10179,ECE,A,2,1,2,3,65,dissatisfied
Auvhj_Cgmxgu,10180,CSE,?,5,2,4,1,86,satisfied
Qwdrpgw_Rsmsr,10181,EEE,B,2,5,3,4,87,satisfied
Qexmwfy_Ksbethmp,10182,CIVIL,B,2,1,4,2,94,dissatisfied
Urkdb_Xtcfyzi,10183,CSE,B,2,5,2,1,68,dissatisfied
Oeslah_Ieadqclb,10184,ECE,A,5,1,1,3,86,dissatisfied
Yiyjuy_Mfkrkg,10185,MECH,C,4,3,3,1,91,dissatisfied
Oxvdm_Zelboy,10186,?,A,1,4,2,5,?,satisfied
Rsvcud_Sugwp,10187,CIVIL,C,1,5,2,3,66,dissatisfied
Mlwiucwv_Tdqpgbs,10188,?,C,4,1,5,2,84,satisfied
Qwwtsii_Hhaicbo,10189,EEE,A,1,5,2,2,63,dissatisfied
Xjrzmlu_Jtcvovy,10190,MECH,A,2,4,2,1,62,dissatisfied
Hvavpa_Bsdyjg,10191,EEE,?,5,5,5,2,58,highly_satisfied
Nmtvzwu_Gwrlbv,10192,ECE,A,?,2,2,4,74,dissatisfied
Lqrtikqi_Pxryao,10193,CSE,C,5,3,?,2,72,satisfied
Kdssmo_Ficquai,10194,CIVIL,C,3,3,3,5,96,satisfied
?,10195,ECE,A,5,5,2,2,70,satisfied
Toxxi_Lnzgaf,10196,EEE,C,1,4,1,4,?,dissatisfied
Clktjb_Urcaqq,10197,ECE,B,?,4,4,3,75,satisfied
?,10198,EEE,C,1,3,2,2,53,dissatisfied
Mmkxvbgg_Gmwoaf,10199,CIVIL,C,3,5,2,5,78,satisfied
Oqpmtm_Atpmcez,10200,ECE,C,3,5,5,5,90,highly_satisfied
Pzvyum_Yzkjxyxy,10201,EEE,C,1,5,3,3,74,satisfied
Pxnzp_Qdyymivi,10202,EEE,B,4,5,4,2,57,satisfied
Fdokzi_Hnwgpu,10203,EEE,A,5,5,1,5,52,satisfied
Bhznpm_Jnayqqhx,10204,MECH,A,1,1,4,3,94,dissatisfied
Omstpxk_Ukzuq,10205,CSE,A,2,5,5,4,88,satisfied
Xcruueoy_Eykma,10206,MECH,A,5,?,5,1,?,satisfied
Atuhb_Igexqonc,10207,ECE,A,3,4,3,3,94,?
Qorpzyr_Lnhwya,10208,CSE,C,5,4,1,4,75,satisfied
Vwwdntr_Ttwtlp,10209,CSE,B,1,1,4,?,83,dissatisfied
Mzczsq_Gumjgajr,10210,CSE,A,3,5,2,4,55,satisfied
Jppot_Fjmfbrfp,10211,CSE,A,1,2,5,3,86,dissatisfied
Yvfdzhbq_Chuhzr,10212,MECH,B,4,5,1,4,83,satisfied
Qrhnhm_Cuodma,10213,MECH,A,2,5,5,4,79,satisfied
Otgkqt_Dbqxe,10214,EEE,B,1,5,1,3,55,dissatisfied
Nrlqoiir_Yyhmvqwi,10215,EEE,C,5,4,4,3,63,satisfied
Tgptjww_Aublavbv,10216,MECH,C,3,1,3,5,70,satisfied
Iairvf_Ojisfg,10217,CIVIL,B,?,?,4,4,92,satisfied
?,10218,CIVIL,B,4,1,1,2,67,dissatisfied
Ihylzg_Hsxfyca,10219,CIVIL,B,5,3,3,3,56,satisfied
Pxfpi_Greyxcx,10220,ECE,B,1,?,4,2,64,dissatisfied
Nwicir_Qnahwz,10221,CIVIL,C,4,3,2,2,82,dissatisfied
Tqwxmbcr_Idgmxuv,10222,CIVIL,C,1,3,3,2,81,dissatisfied
Hkeccmyr_Sjgoy,10223,CSE,B,5,1,1,4,62,dissatisfied
Fhkepbxv_Gupmngx,10224,EEE,B,2,3,3,?,54,satisfied
Yxjskif_Oxsxhp,10225,CIVIL,C,4,5,1,3,53,satisfied
Wpvju_Bavsmx,10226,EEE,B,2,2,4,?,57,satisfied
Cwwjde_Exdgjqjc,10227,MECH,C,2,1,?,4,63,?
Famaqi_Ttneacqc,10228,MECH,A,5,1,?,2,94,satisfied
Xrpkow_Pimesw,10229,CSE,B,5,5,?,2,91,?
?,10230,CSE,B,3,4,1,2,54,dissatisfied
Tfymvfg_Xftmejpm,10231,CSE,A,4,1,3,2,69,dissatisfied
Mgwonv_Udzclqw,10232,CIVIL,C,5,5,4,2,97,satisfied
Yjnba_Mopwic,10233,MECH,A,4,4,1,4,55,satisfied
Bcfcndtk_Vodqgs,10234,ECE,C,2,4,2,4,?,satisfied
Lkosg_Yhuyswo,10235,EEE,C,3,3,1,4,63,dissatisfied
?,10236,EEE,C,4,4,5,4,69,highly_satisfied
Qlporuj_Zlrisuju,10237,ECE,A,2,4,?,3,60,satisfied
Fcoll_Oclja,10238,CSE,C,1,4,3,2,60,dissatisfied
Xwczsxr_Yvlfb,10239,ECE,C,1,1,5,5,52,satisfied
Sselcpw_Sozzvr,10240,?,A,5,4,5,4,?,highly_satisfied
Xbhzpsrj_Kzehla,10241,CSE,A,4,1,1,2,93,dissatisfied
Vovdaf_Izkyvq,10242,ECE,B,5,3,2,3,90,satisfied
Cbkpybwi_Bdcawdwc,10243,MECH,?,1,3,?,2,83,dissatisfied
Oodcgho_Xqgkshzy,10244,MECH,A,4,2,2,1,65,dissatisfied
Fzkuhxf_Rxpohbqz,10245,CSE,A,4,2,3,5,67,?
Sqoct_Cxaqfbuy,10246,ECE,B,2,1,3,1,83,dissatisfied
Wcjlkito_Bcjcx,10247,MECH,B,1,4,2,5,?,satisfied
Eikmtov_Khnltjch,10248,CSE,A,4,3,1,3,99,dissatisfied
Jizfvoj_Uljfachi,10249,EEE,C,3,5,4,1,70,satisfied
Vxnekg_Swmkkwtz,10250,MECH,A,1,1,2,2,72,dissatisfied
Ravlrhw_Cclxzs,10251,ECE,A,1,4,2,2,52,dissatisfied
Rutdk_Titbokx,10252,MECH,C,2,2,3,4,63,dissatisfied
Xqjtl_Wvoza,10253,CSE,B,3,2,5,?,50,satisfied
Ujtvxvw_Fxzyb,10254,EEE,?,5,5,5,2,97,highly_satisfied
Qnlwl_Zobduxsm,10255,?,B,1,3,?,3,94,dissatisfied
?,10256,CSE,C,5,4,1,2,96,satisfied
Tmmxjyq_Esldnfwe,10257,MECH,C,5,5,5,4,86,highly_satisfied
Fuippfw_Afhru,10258,MECH,B,1,2,2,4,73,dissatisfied
Vlrydw_Jacfidb,10259,ECE,A,2,3,2,5,81,satisfied
Ocvbue_Ncnnd,10260,ECE,B,5,2,5,1,52,satisfied
Gjcpfsae_Jgqxhup,10261,EEE,C,3,3,3,4,50,satisfied
Vfvzae_Rrbtkwv,10262,CSE,?,3,2,1,2,54,dissatisfied
Kayzvya_Kmwvwgkg,10263,ECE,C,5,3,5,1,60,satisfied
Fpmanen_Xgcxrgxo,10264,EEE,C,4,1,1,5,100,dissatisfied
Clwjgle_Hqygx,10265,CSE,A,1,3,3,2,94,dissatisfied
Oorialhv_Yvzhma,10266,EEE,C,5,5,5,5,67,highly_satisfied
Qjkjgit_Wuamsdd,10267,CIVIL,B,4,3,4,3,53,?
Ttmlg_Qjdzec,10268,ECE,C,1,3,5,1,92,dissatisfied
Hucxa_Jwqbnfgc,10269,MECH,A,2,5,3,4,84,satisfied
Qgdlmhr_Viwed,10270,EEE,B,5,5,1,2,?,satisfied
Dusxso_Olfltnvo,10271,EEE,B,2,5,1,1,96,dissatisfied
Nbqmt_Masnji,10272,MECH,A,3,5,3,2,71,satisfied
Ftyaprkf_Mcdcjj,10273,EEE,C,3,3,?,3,83,dissatisfied
Wmhjzxz_Hxltrzvm,10274,ECE,C,2,2,4,5,86,satisfied
Myfosy_Nrhvqps,10275,ECE,?,1,2,5,2,69,dissatisfied
Zzftaw_Rgwso,10276,ECE,A,1,1,3,5,58,dissatisfied
Efxegl_Spmuw,10277,ECE,C,3,4,4,1,67,satisfied
Yzzftp_Kvhzmup,10278,CSE,A,3,5,4,2,68,satisfied
Iqrqg_Kssji,10279,CIVIL,B,3,5,3,4,76,satisfied
Nkgonv_Zaygbvn,10280,ECE,A,2,1,4,1,82,dissatisfied
Yxipin_Laiwpx,10281,CSE,C,1,5,5,4,71,satisfied
Ovvrrk_Duadlbqw,10282,MECH,B,?,3,?,4,63,?
Luliuxjh_Tkuanhgk,10283,CIVIL,C,?,5,5,4,87,satisfied
Pjbgvc_Fhxubxmj,10284,MECH,C,1,3,2,5,86,dissatisfied
Zwjjgyv_Jgoqkh,10285,ECE,A,2,2,2,3,86,dissatisfied
Effhvr_Jmusdgh,10286,ECE,B,5,3,5,2,68,satisfied
Cjimahtz_Dmhhd,10287,CSE,A,5,3,1,2,70,dissatisfied
Jkyuel_Nxnflik,10288,EEE,C,1,1,3,4,52,dissatisfied
?,10289,MECH,B,3,5,2,2,53,satisfied
Uwieosp_Ovnxjwu,10290,MECH,A,5,1,4,4,82,?
Qoyuz_Klsjzord,10291,CIVIL,B,1,2,1,3,97,dissatisfied
Dcrux_Inlxhpd,10292,ECE,A,5,1,2,5,53,satisfied
Klzprrc_Bpnpng,10293,CIVIL,A,5,4,5,1,71,satisfied
Mnreasti_Tmsimgl,10294,CSE,C,3,2,1,3,88,?
Sjdfr_Hsynhfmr,10295,EEE,A,5,5,2,1,55,satisfied
Msrqpk_Gqnnrzw,10296,EEE,A,5,2,5,1,92,satisfied
Suuljmf_Kuhjye,10297,MECH,A,?,5,2,1,76,dissatisfied
Ymdbgnq_Ibovw,10298,MECH,B,2,4,3,5,75,satisfied
Bswddxkx_Fphlmg,10299,CSE,A,1,5,1,5,52,satisfied
Cfqpigks_Cvwjol,10300,EEE,?,1,2,5,1,91,dissatisfied
Wzawu_Wamhygk,10301,ECE,B,?,2,4,1,72,satisfied
Oosil_Wuccht,10302,ECE,?,3,4,1,3,93,dissatisfied
Hkadxxeq_Ebeev,10303,CSE,B,2,2,4,5,57,satisfied
Aysphask_Ohjmd,10304,MECH,B,3,2,5,1,82,dissatisfied
Fijjogd_Rxpgqcq,10305,?,A,3,?,1,2,55,dissatisfied
Cqykd_Ilzdhds,10306,EEE,C,5,5,2,4,61,satisfied
Ycjfg_Ptyzk,10307,MECH,B,2,3,2,3,100,dissatisfied
Lmlqy_Lgixpcq,10308,EEE,B,3,2,1,1,94,dissatisfied
Ryxeexi_Aiozdi,10309,EEE,A,2,?,3,4,62,dissatisfied
Wsonkgca_Uubcdami,10310,MECH,B,2,?,4,3,93,dissatisfied
Ixvdg_Jufjvhbb,10311,ECE,A,5,1,2,1,78,dissatisfied
Fofwgb_Jthmiv,10312,EEE,A,5,5,3,4,98,highly_satisfied
Ccqcuxa_Tvopj,10313,CIVIL,A,?,5,5,5,53,highly_satisfied
Yrwscf_Qwjox,10314,CSE,A,3,4,5,1,78,satisfied
Ychcm_Hmmunm,10315,MECH,A,4,4,2,4,94,satisfied
Cwofso_Knrlifqa,10316,CIVIL,B,1,4,2,5,52,satisfied
Gmyhp_Zpytfj,10317,?,C,4,5,1,1,63,dissatisfied
Hdqtyys_Rufzxvjx,10318,ECE,A,2,5,3,2,99,satisfied
Ybshgl_Eunma,10319,CIVIL,C,5,2,5,5,70,highly_satisfied
Hsmkqopd_Szxca,10320,CSE,C,4,3,2,2,96,dissatisfied
Dezyz_Dqceqgwu,10321,CIVIL,A,3,4,3,2,69,satisfied
Dijakxgu_Avexkdbl,10322,CIVIL,C,1,2,1,2,84,dissatisfied
Axjbrwwa_Wedxnb,10323,EEE,B,3,3,3,3,56,satisfied
Gcigwca_Vkfexg,10324,CSE,A,3,1,5,3,82,satisfied
Btkpgy_Vfsxrjsl,10325,MECH,A,3,1,4,2,95,dissatisfied
Nefwm_Agwxv,10326,CSE,A,5,2,4,5,?,satisfied
Kllvooqn_Mrccyzt,10327,EEE,B,1,1,5,3,?,dissatisfied
Xvouzk_Fpyec,10328,ECE,B,3,1,1,3,91,dissatisfied
Zvuuowaq_Dxftrhlu,10329,CIVIL,C,5,4,4,1,68,satisfied
Xfrfud_Bkopypzk,10330,CSE,C,3,1,5,1,74,dissatisfied
Sfbhxkd_Dbmgw,10331,ECE,B,5,3,3,5,83,satisfied
Utsqqvm_Oszvpck,10332,CIVIL,B,?,5,2,5,87,highly_satisfied
Okzbsap_Kcbkoo,10333,CIVIL,?,3,5,4,2,70,satisfied
Uxaqfrfx_Kcrvguea,10334,MECH,A,5,5,3,3,67,satisfied
Xvsjacl_Soufc,10335,CSE,C,4,1,3,4,65,satisfied
Ixmkr_Lnboblv,10336,EEE,A,1,2,1,5,98,dissatisfied
Rfdak_Avivpy,10337,MECH,C,5,4,5,3,64,highly_satisfied
Zfkjwuf_Hcmefv,10338,CSE,B,5,5,2,3,?,satisfied
?,10339,EEE,C,1,5,2,2,50,dissatisfied
Kjzly_Zzoqdykm,10340,CSE,B,1,5,1,3,?,dissatisfied
Sjkjqfo_Rbdveg,10341,ECE,B,1,5,1,4,57,dissatisfied
Nssgk_Lndcmea,10342,?,B,4,4,3,5,78,satisfied
